店舗名,郵便番号,住所,曜日帯,開始時間,終了時間,種別,システム,料金
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,金土日祝祝前,19:00,5:00,会員,30分,530
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,金土日祝祝前,19:00,5:00,シニア,30分,530
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,金土日祝祝前,19:00,5:00,一般,30分,580
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,18:00,5:00,学生会員,夜フリータイム,1820
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,18:00,5:00,学生,夜フリータイム,1890
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,18:00,5:00,会員,夜フリータイム,2120
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,18:00,5:00,シニア,夜フリータイム,2120
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,18:00,5:00,一般,夜フリータイム,2310
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,23:00,5:00,学生会員,深夜フリータイム,1490
阪急茨木店,567-0816,大阪府茨木市永代町6-2 スポーツプラザ茨木ビル1F阪急京都本線 茨木市駅 西出口より徒歩4分（受付：1F）,平日,23:00,5:00,学生,深夜フリータイム,1540
